Item_Store_ID,Item_Store_Returns
DRA59_BABATUNJI010,1322.3769738162318
DRA59_BABATUNJI013,7296.2662271213085
DRB01_BABATUNJI013,7162.08598497503
DRB13_BABATUNJI010,1675.1989628625533
DRB13_BABATUNJI013,7470.552867395897
DRB25_BABATUNJI017,4550.669929818246
DRB25_BABATUNJI027,7485.639087025649
DRB25_BABATUNJI035,4709.38808744675
DRB48_BABATUNJI017,4110.618778388776
DRB48_BABATUNJI027,7471.826780910529
DRB48_BABATUNJI035,4279.23006233212
DRB48_BABATUNJI046,3969.522305878136
DRB48_BABATUNJI049,3794.041734141936
DRC01_BABATUNJI017,3715.816968259001
DRC01_BABATUNJI018,2927.5756253482737
DRC01_BABATUNJI027,7370.94696543153
DRC01_BABATUNJI045,3990.344502035006
DRC01_BABATUNJI046,3491.2023392498395
DRC13_BABATUNJI035,5518.952598273258
DRC13_BABATUNJI045,5236.916450143536
DRC25_BABATUNJI018,3270.3995479805285
DRC25_BABATUNJI019,276.1850679017234
DRC25_BABATUNJI027,7913.487776982441
DRC25_BABATUNJI045,3891.8719529477958
DRC25_BABATUNJI046,3872.4349702183094
DRC27_BABATUNJI010,2546.603441892097
DRC27_BABATUNJI018,8805.773000137637
DRC27_BABATUNJI049,9722.039255697464
DRC36_BABATUNJI013,6868.989008386756
DRD01_BABATUNJI017,4227.792888781611
DRD01_BABATUNJI018,3305.8785052035487
DRD01_BABATUNJI035,4319.060486060584
DRD01_BABATUNJI045,4192.9316615541
DRD01_BABATUNJI049,3844.6455810641296
DRD12_BABATUNJI017,3959.710756082091
DRD12_BABATUNJI018,3259.9306990033406
DRD12_BABATUNJI027,7840.563843807393
DRD12_BABATUNJI035,4127.8190184623745
DRD12_BABATUNJI045,3868.972221769559
DRD12_BABATUNJI046,3759.2247399973544
DRD13_BABATUNJI017,4030.3489102521557
DRD13_BABATUNJI018,3161.9107212051667
DRD13_BABATUNJI027,7314.788658048555
DRD13_BABATUNJI035,4180.85616850257
DRD13_BABATUNJI045,3952.6594039326746
DRD13_BABATUNJI049,3786.6902447661264
DRD15_BABATUNJI010,2554.5017727484174
DRD15_BABATUNJI013,8933.879424793486
DRD15_BABATUNJI046,9420.475958431429
DRD15_BABATUNJI049,9742.541512649303
DRD24_BABATUNJI027,8856.78989859445
DRD25_BABATUNJI027,7927.84579355489
DRD25_BABATUNJI035,4646.31487302275
DRD25_BABATUNJI045,4284.070896183449
DRD27_BABATUNJI017,4588.0405739047965
DRD27_BABATUNJI019,397.6267530439918
DRD27_BABATUNJI045,4530.828553308049
DRD37_BABATUNJI017,3861.9572041401675
DRD37_BABATUNJI018,3066.649333174851
DRD37_BABATUNJI045,4130.034441756547
DRD37_BABATUNJI046,3680.2651802761793
DRD37_BABATUNJI049,3712.882548813994
DRD49_BABATUNJI046,9237.657195292211
DRD60_BABATUNJI013,6821.1430530342295
DRE01_BABATUNJI010,2128.7776423742744
DRE01_BABATUNJI046,8852.280019351589
DRE03_BABATUNJI017,3803.7836524794507
DRE03_BABATUNJI018,3004.047106784195
DRE03_BABATUNJI035,3919.089473511492
DRE03_BABATUNJI045,4092.8719546034717
DRE03_BABATUNJI046,3530.4147458961197
DRE03_BABATUNJI049,3531.0443851595787
DRE12_BABATUNJI027,7646.8046770791325
DRE12_BABATUNJI035,4662.070982061444
DRE12_BABATUNJI045,4432.877522617617
DRE13_BABATUNJI027,7475.61175353435
DRE13_BABATUNJI035,4023.745802666316
DRE13_BABATUNJI045,3744.925535852204
DRE13_BABATUNJI049,3742.073812527327
DRE15_BABATUNJI017,4381.416962432784
DRE15_BABATUNJI018,3336.3062105928775
DRE15_BABATUNJI019,315.6615853180674
DRE15_BABATUNJI027,7679.530189485392
DRE15_BABATUNJI045,4261.883727651571
DRE15_BABATUNJI046,3965.236191667992
DRE25_BABATUNJI017,4473.618730491427
DRE25_BABATUNJI027,7851.801099837774
DRE25_BABATUNJI035,4421.311808195315
DRE27_BABATUNJI035,4579.106564063846
DRE27_BABATUNJI045,4298.825619999341
DRE48_BABATUNJI013,7727.9780310591905
DRE48_BABATUNJI046,8385.103615685024
DRE60_BABATUNJI013,8887.727890348402
DRF03_BABATUNJI018,3167.214472372292
DRF03_BABATUNJI027,7244.203448565643
DRF03_BABATUNJI035,4029.1305667251736
DRF03_BABATUNJI045,4179.004391343184
DRF03_BABATUNJI046,3733.7549232915976
DRF03_BABATUNJI049,3718.262026934507
DRF25_BABATUNJI019,84.9379008177666
DRF25_BABATUNJI027,7263.433957892998
DRF25_BABATUNJI035,3807.3675636201096
DRF25_BABATUNJI045,3865.7372250880976
DRF25_BABATUNJI046,3408.7502060624047
DRF25_BABATUNJI049,3406.6428063686035
DRF36_BABATUNJI010,1569.566898733644
DRF37_BABATUNJI013,8776.737312659316
DRF37_BABATUNJI018,8666.782818524094
DRF37_BABATUNJI035,10096.480918038542
DRF37_BABATUNJI045,9950.250589379444
DRF49_BABATUNJI035,4917.864294308529
DRF49_BABATUNJI045,4430.3898806006855
DRF51_BABATUNJI018,2961.8272788095915
DRF51_BABATUNJI045,4087.225919513168
DRF51_BABATUNJI046,3512.7905183899593
DRF60_BABATUNJI018,9142.731391795049
DRF60_BABATUNJI049,9880.618671005614
DRG01_BABATUNJI019,225.32157551308865
DRG01_BABATUNJI027,7388.05074076211
DRG01_BABATUNJI035,4190.496078205529
DRG01_BABATUNJI046,3735.2519148374436
DRG11_BABATUNJI045,4269.016439583426
DRG15_BABATUNJI017,3852.9381130073234
DRG15_BABATUNJI035,3904.2766373088343
DRG15_BABATUNJI045,3796.25967119548
DRG15_BABATUNJI046,3699.658557600327
DRG15_BABATUNJI049,3720.1511488362657
DRG25_BABATUNJI013,7035.507621845061
DRG27_BABATUNJI018,3060.6382488822583
DRG27_BABATUNJI019,90.07290459297838
DRG27_BABATUNJI045,3977.7203032698994
DRG27_BABATUNJI046,3479.330077667743
DRG27_BABATUNJI049,3452.590490181384
DRG36_BABATUNJI013,6718.630369692261
DRG39_BABATUNJI018,3014.7366692855667
DRG39_BABATUNJI046,3562.4086291099434
DRG39_BABATUNJI049,3905.619583729659
DRG49_BABATUNJI010,2454.434489852372
DRG49_BABATUNJI018,8731.260358058495
DRH03_BABATUNJI018,3594.7851595898933
DRH03_BABATUNJI019,436.75480842554134
DRH03_BABATUNJI035,4523.368906203648
DRH11_BABATUNJI027,7064.740533693028
DRH11_BABATUNJI045,4189.520476470568
DRH11_BABATUNJI049,3725.3578266761847
DRH13_BABATUNJI019,374.1288380363958
DRH13_BABATUNJI045,4357.559015129924
DRH15_BABATUNJI018,2919.929037175842
DRH15_BABATUNJI019,110.50702757157524
DRH15_BABATUNJI046,3471.298070871211
DRH23_BABATUNJI017,4108.127630445744
DRH23_BABATUNJI019,224.49450896017788
DRH23_BABATUNJI045,4034.0580844401875
DRH23_BABATUNJI049,3976.133271575182
DRH25_BABATUNJI017,3874.23054576063
DRH25_BABATUNJI027,7474.368719266864
DRH25_BABATUNJI035,4198.255987554341
DRH25_BABATUNJI045,4142.30778337701
DRH36_BABATUNJI017,4052.2976901853654
DRH36_BABATUNJI019,227.48461617923112
DRH36_BABATUNJI035,4202.80494843578
DRH36_BABATUNJI045,3990.332173894954
DRH36_BABATUNJI046,3747.5607850676947
DRH39_BABATUNJI017,3900.7627739505406
DRH39_BABATUNJI019,413.58858152529683
DRH39_BABATUNJI027,7171.796950559894
DRH39_BABATUNJI046,3769.5528220217793
DRH39_BABATUNJI049,3781.888809096182
DRH49_BABATUNJI018,3167.4562132335486
DRH49_BABATUNJI019,231.86561889802942
DRH49_BABATUNJI046,3725.2942939797704
DRH51_BABATUNJI019,231.2585267946415
DRH51_BABATUNJI027,7775.846657701459
DRH51_BABATUNJI035,4224.768581083407
DRH51_BABATUNJI049,3888.361229490224
DRH59_BABATUNJI046,3804.485944953677
DRH59_BABATUNJI049,3965.013095753655
DRI01_BABATUNJI013,6751.680001980191
DRI03_BABATUNJI013,6648.401520517335
DRI11_BABATUNJI027,7544.451998298565
DRI11_BABATUNJI035,4994.31580815855
DRI11_BABATUNJI045,4606.1353613008105
DRI13_BABATUNJI013,8059.763480351981
DRI13_BABATUNJI018,7942.228450657046
DRI13_BABATUNJI046,8385.367989793824
DRI25_BABATUNJI017,4397.765348484185
DRI25_BABATUNJI027,7473.283544167407
DRI25_BABATUNJI045,4077.05350239808
DRI25_BABATUNJI046,3951.577837369745
DRI25_BABATUNJI049,3995.729538163714
DRI37_BABATUNJI017,4015.2299965864618
DRI37_BABATUNJI018,3142.167331792787
DRI37_BABATUNJI027,7188.06486599301
DRI37_BABATUNJI046,3734.536751723092
DRI37_BABATUNJI049,3766.9468553537463
DRI39_BABATUNJI017,4081.6645717517367
DRI39_BABATUNJI018,3443.618999689422
DRI39_BABATUNJI027,7171.796950559894
DRI39_BABATUNJI035,4159.177342141416
DRI49_BABATUNJI018,3144.939541850599
DRI49_BABATUNJI035,4168.529502596282
DRI49_BABATUNJI045,3970.85946854894
DRI49_BABATUNJI046,3703.4870750133123
DRJ11_BABATUNJI010,1676.1854176352344
DRJ11_BABATUNJI013,7449.1273114008945
DRJ23_BABATUNJI010,1754.3388152135603
DRJ23_BABATUNJI013,7356.86967601088
DRJ24_BABATUNJI010,1384.1033586222966
DRJ24_BABATUNJI013,7106.806756361966
DRJ25_BABATUNJI017,3745.585195674091
DRJ25_BABATUNJI018,2923.6445844757513
DRJ25_BABATUNJI045,4005.197912198591
DRJ25_BABATUNJI049,3451.176868318657
DRJ35_BABATUNJI017,4055.6293745020603
DRJ35_BABATUNJI046,3765.4879544235005
DRJ39_BABATUNJI013,8617.24510729442
DRJ39_BABATUNJI018,8379.681368214202
DRJ39_BABATUNJI046,8890.005584604423
DRJ47_BABATUNJI013,6566.475962595364
DRJ49_BABATUNJI045,5091.676401709126
DRJ51_BABATUNJI013,9390.06497516893
DRJ51_BABATUNJI049,10358.421302043655
DRJ59_BABATUNJI027,7529.290881160367
DRJ59_BABATUNJI045,4305.725612547325
DRJ59_BABATUNJI046,3815.3868720988035
DRJ59_BABATUNJI049,3841.803257649106
DRK01_BABATUNJI017,3975.9113492764773
DRK01_BABATUNJI018,3191.361491346307
